"Region","Liczba zachorowań","ASW","ASE","Wsp. surowy","Ryzyko skumulowane","Udział odsetkowy"
"Dolnośląskie","7383","13.80","20.20","20.43","1.78","0.41"
"Kujawsko-Pomorskie","7128","21.42","27.92","27.80","2.37","0.39"
"Lubelskie","5258","14.28","20.20","19.79","1.73","0.29"
"Lubuskie","2381","13.43","19.63","19.10","1.70","0.13"
"Łódzkie","5279","10.30","16.08","16.66","1.44","0.29"
"Małopolskie","7112","12.40","18.37","17.31","1.60","0.39"
"Mazowieckie","11525","12.16","17.65","17.46","1.53","0.63"
"Opolskie","2264","12.03","17.97","18.03","1.56","0.12"
"Podkarpackie","3833","10.55","15.98","14.79","1.42","0.21"
"Podlaskie","2923","13.92","20.83","19.96","1.83","0.16"
"Pomorskie","5990","15.27","22.76","21.48","2.02","0.33"
"Śląskie","10290","11.87","17.77","18.01","1.57","0.56"
"Świętokrzyskie","3148","14.13","20.28","20.23","1.75","0.17"
"Warmińsko-Mazurskie","3469","14.33","20.48","19.80","1.78","0.19"
"Wielkopolskie","7491","12.68","18.53","17.70","1.61","0.41"
"Zachodniopomorskie","4019","13.33","19.95","19.23","1.80","0.22"
