"Region","Liczba zgonów","ASW","ASE","Wsp. surowy","Ryzyko skumulowane","Udział odsetkowy"
"Dolnośląskie","3177","4.98","8.91","8.79","0.90","0.32"
"Kujawsko-Pomorskie","2281","5.21","9.53","8.90","0.98","0.23"
"Lubelskie","1933","4.20","7.45","7.27","0.75","0.19"
"Lubuskie","1329","6.47","11.51","10.66","1.17","0.13"
"Łódzkie","2907","4.89","8.79","9.17","0.89","0.29"
"Małopolskie","3066","4.43","8.17","7.46","0.84","0.31"
"Mazowieckie","5506","4.73","8.61","8.34","0.88","0.55"
"Opolskie","1068","4.71","8.71","8.50","0.90","0.11"
"Podkarpackie","1636","3.67","6.99","6.31","0.73","0.16"
"Podlaskie","1220","4.79","8.68","8.33","0.88","0.12"
"Pomorskie","2583","5.69","10.38","9.26","1.07","0.26"
"Śląskie","5313","5.14","9.44","9.30","0.98","0.53"
"Świętokrzyskie","1236","4.38","7.88","7.94","0.80","0.12"
"Warmińsko-Mazurskie","1572","5.42","9.95","8.97","1.03","0.16"
"Wielkopolskie","3387","4.78","8.83","8.00","0.91","0.34"
"Zachodniopomorskie","2051","5.67","10.47","9.81","1.10","0.20"
